symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2017-05-20 00:00:00+00:00,14.51,14.51,14.51,14.51,0.0,12.4955296505,12.4955296505,12.4955296505,12.4955296505,0.0,0.0,1.0
NASDX,2017-05-21 00:00:00+00:00,14.51,14.51,14.51,14.51,0.0,12.4955296505,12.4955296505,12.4955296505,12.4955296505,0.0,0.0,1.0
NASDX,2017-05-22 00:00:00+00:00,14.51,14.51,14.51,14.51,0.0,12.4955296505,12.4955296505,12.4955296505,12.4955296505,0.0,0.0,1.0
NASDX,2017-05-23 00:00:00+00:00,14.52,14.52,14.52,14.52,0.0,12.504141318,12.504141318,12.504141318,12.504141318,0.0,0.0,1.0
NASDX,2017-05-24 00:00:00+00:00,14.59,14.59,14.59,14.59,0.0,12.5644229911,12.5644229911,12.5644229911,12.5644229911,0.0,0.0,1.0
NASDX,2017-05-25 00:00:00+00:00,14.71,14.71,14.71,14.71,0.0,12.6677630019,12.6677630019,12.6677630019,12.6677630019,0.0,0.0,1.0
NASDX,2017-05-26 00:00:00+00:00,14.74,14.74,14.74,14.74,0.0,12.6935980047,12.6935980047,12.6935980047,12.6935980047,0.0,0.0,1.0
NASDX,2017-05-27 00:00:00+00:00,14.75,14.75,14.75,14.75,0.0,12.7022096722,12.7022096722,12.7022096722,12.7022096722,0.0,0.0,1.0
NASDX,2017-05-28 00:00:00+00:00,14.75,14.75,14.75,14.75,0.0,12.7022096722,12.7022096722,12.7022096722,12.7022096722,0.0,0.0,1.0
NASDX,2017-05-29 00:00:00+00:00,14.75,14.75,14.75,14.75,0.0,12.7022096722,12.7022096722,12.7022096722,12.7022096722,0.0,0.0,1.0
NASDX,2017-05-30 00:00:00+00:00,14.75,14.75,14.75,14.75,0.0,12.7022096722,12.7022096722,12.7022096722,12.7022096722,0.0,0.0,1.0
NASDX,2017-05-31 00:00:00+00:00,14.75,14.75,14.75,14.75,0.0,12.7022096722,12.7022096722,12.7022096722,12.7022096722,0.0,0.0,1.0
NASDX,2017-06-01 00:00:00+00:00,14.82,14.82,14.82,14.82,0.0,12.7624913453,12.7624913453,12.7624913453,12.7624913453,0.0,0.0,1.0
NASDX,2017-06-02 00:00:00+00:00,14.98,14.98,14.98,14.98,0.0,12.9002780265,12.9002780265,12.9002780265,12.9002780265,0.0,0.0,1.0
NASDX,2017-06-03 00:00:00+00:00,14.97,14.97,14.97,14.97,0.0,12.8916663589,12.8916663589,12.8916663589,12.8916663589,0.0,0.0,1.0
NASDX,2017-06-04 00:00:00+00:00,14.97,14.97,14.97,14.97,0.0,12.8916663589,12.8916663589,12.8916663589,12.8916663589,0.0,0.0,1.0
NASDX,2017-06-05 00:00:00+00:00,14.97,14.97,14.97,14.97,0.0,12.8916663589,12.8916663589,12.8916663589,12.8916663589,0.0,0.0,1.0
NASDX,2017-06-06 00:00:00+00:00,14.91,14.91,14.91,14.91,0.0,12.8399963534,12.8399963534,12.8399963534,12.8399963534,0.0,0.0,1.0
NASDX,2017-06-07 00:00:00+00:00,14.97,14.97,14.97,14.97,0.0,12.8916663589,12.8916663589,12.8916663589,12.8916663589,0.0,0.0,1.0
NASDX,2017-06-08 00:00:00+00:00,14.99,14.99,14.99,14.99,0.0,12.908889694,12.908889694,12.908889694,12.908889694,0.0,0.0,1.0
